,True Classes,Predicted Classes
486,Bag,Bag
487,Ankle boot,Ankle boot
488,Sneaker,Dress
489,T-shirt/top,Ankle boot
490,Coat,Bag
491,Coat,Coat
492,Shirt,Sandal
493,Trouser,Sneaker
494,Shirt,Sneaker
495,Coat,Pullover
496,Coat,Coat
497,Trouser,Trouser
498,Pullover,Coat
499,Sneaker,Sneaker
500,Dress,T-shirt/top
501,Sandal,Sandal
502,Ankle boot,Bag
503,Sneaker,Sneaker
504,Sneaker,Trouser
505,Trouser,Trouser
506,Sneaker,Sneaker
507,Pullover,Pullover
508,Bag,Bag
509,Coat,Coat
510,Coat,Coat
511,Pullover,Pullover
512,Bag,Bag
513,Bag,Bag
514,Dress,Trouser
515,Sneaker,Ankle boot
516,Dress,Pullover
517,Pullover,Coat
518,Sneaker,Sneaker
519,Bag,Sandal
520,Coat,Sandal
521,Shirt,Coat
522,Shirt,Trouser
523,Shirt,Pullover
524,Sandal,Ankle boot
525,Ankle boot,Ankle boot
526,Coat,Pullover
527,Sandal,Dress
528,Bag,T-shirt/top
529,Sandal,Sandal
530,Coat,T-shirt/top
531,Trouser,Trouser
532,Shirt,Trouser
533,Sneaker,Sneaker
534,Coat,Bag
535,Coat,Trouser
536,T-shirt/top,Trouser
537,Coat,Coat
538,Pullover,Coat
539,Dress,Sneaker
540,Coat,Pullover
541,Dress,Sneaker
542,Pullover,Coat
543,T-shirt/top,T-shirt/top
544,Pullover,Pullover
545,Sandal,Sneaker
546,Pullover,Coat
547,Ankle boot,Ankle boot
548,Sneaker,T-shirt/top
549,T-shirt/top,Bag
550,Trouser,Trouser
551,Trouser,Trouser
552,Dress,Dress
553,Sneaker,Sneaker
554,Sandal,Sandal
555,Sneaker,Ankle boot
556,Bag,Bag
557,Sandal,Trouser
558,Dress,Trouser
559,T-shirt/top,T-shirt/top
560,Shirt,T-shirt/top
561,Sneaker,Sneaker
562,Ankle boot,Coat
563,Shirt,Bag
564,Shirt,Coat
565,Bag,Bag
566,T-shirt/top,Sandal
567,Trouser,Trouser
568,Bag,Bag
569,Ankle boot,Ankle boot
570,Sneaker,T-shirt/top
571,Bag,Bag
572,Sneaker,Sneaker
573,Ankle boot,Ankle boot
574,Dress,Sneaker
575,Bag,Bag
576,Dress,Sneaker
577,Sandal,Sandal
578,Coat,Trouser
579,Sneaker,Sneaker
580,Ankle boot,Ankle boot
581,Dress,Bag
582,Sneaker,Sneaker
583,Ankle boot,Ankle boot
584,Sandal,Sandal
585,Trouser,Trouser
586,Dress,T-shirt/top
587,Bag,Coat
588,Shirt,Sandal
589,Ankle boot,Ankle boot
590,Shirt,Pullover
591,Shirt,T-shirt/top
592,Sandal,Sandal
593,Shirt,Trouser
594,Shirt,T-shirt/top
595,Sandal,Sandal
596,Dress,Pullover
597,Ankle boot,Ankle boot
598,Sneaker,Trouser
599,Dress,Dress
600,Ankle boot,Ankle boot
601,Coat,Coat
602,Shirt,Sandal
603,Pullover,Shirt
604,Dress,Dress
605,Ankle boot,Ankle boot
606,Coat,Coat
607,Trouser,Trouser
608,Trouser,Trouser
609,Bag,Bag
610,Sneaker,Sneaker
611,Sneaker,Trouser
612,Sandal,Sandal
613,Bag,Bag
614,Bag,Bag
615,Coat,Coat
616,Sandal,Trouser
617,Bag,Bag
618,Coat,Coat
619,Shirt,Pullover
620,Shirt,Shirt
621,Sneaker,Sneaker
622,Dress,Pullover
623,Sneaker,Sandal
624,Shirt,Pullover
625,Sandal,Sandal
626,Sneaker,Ankle boot
627,Trouser,Trouser
628,Dress,Trouser
629,Bag,Dress
630,Dress,Dress
631,T-shirt/top,T-shirt/top
632,Dress,T-shirt/top
633,Bag,Bag
634,Coat,Coat
635,T-shirt/top,Sneaker
636,Trouser,Trouser
637,Bag,Bag
638,T-shirt/top,T-shirt/top
639,Sneaker,Ankle boot
640,Sandal,Sneaker
641,T-shirt/top,Trouser
642,Ankle boot,Ankle boot
643,Dress,Bag
644,Coat,Pullover
645,Sneaker,Bag
646,Dress,Bag
647,Coat,Coat
648,Sneaker,Sneaker
649,Bag,Bag
650,Ankle boot,Ankle boot
651,T-shirt/top,T-shirt/top
652,Dress,Coat
653,Sandal,Sandal
654,Ankle boot,T-shirt/top
655,Shirt,Bag
656,Dress,Bag
657,Ankle boot,Ankle boot
658,Sneaker,Ankle boot
659,Pullover,Coat
660,Ankle boot,Ankle boot
661,T-shirt/top,T-shirt/top
662,Sneaker,Trouser
663,T-shirt/top,T-shirt/top
664,T-shirt/top,Ankle boot
665,Sandal,Sandal
666,Ankle boot,Bag
667,Bag,Bag
668,Sneaker,Shirt
669,Dress,Sneaker
670,Ankle boot,Ankle boot
671,Trouser,Trouser
672,T-shirt/top,T-shirt/top
673,Dress,Dress
674,Bag,Ankle boot
675,Ankle boot,Ankle boot
676,Coat,Coat
677,Ankle boot,Ankle boot
678,Dress,Trouser
679,Ankle boot,Dress
680,Dress,Sneaker
681,Shirt,Bag
682,Bag,Bag
683,T-shirt/top,T-shirt/top
684,T-shirt/top,Pullover
685,Bag,Pullover
686,Ankle boot,Ankle boot
687,Sneaker,Sneaker
688,Ankle boot,Ankle boot
689,Sandal,Sandal
690,Ankle boot,Ankle boot
691,Pullover,Coat
692,Sneaker,Sneaker
693,Sneaker,Sneaker
694,Dress,Bag
695,Trouser,Trouser
696,Ankle boot,Ankle boot
697,Bag,Coat
698,Dress,Dress
699,Coat,Coat
700,Bag,Pullover
701,Ankle boot,Ankle boot
702,Bag,Bag
703,Bag,Sandal
704,T-shirt/top,T-shirt/top
705,Shirt,Coat
706,Sneaker,Ankle boot
707,Trouser,Dress
708,Coat,Coat
709,Dress,Sandal
710,Dress,Dress
711,Pullover,Sandal
712,Trouser,Trouser
713,Coat,Pullover
714,Sandal,Sandal
715,Sneaker,Sneaker
716,Bag,Bag
717,Bag,Bag
718,Bag,Bag
719,Shirt,T-shirt/top
720,T-shirt/top,Bag
721,Pullover,Coat
722,Sneaker,Sneaker
723,Bag,Pullover
724,Ankle boot,Ankle boot
725,Dress,Trouser
726,Sandal,Sandal
727,Pullover,Coat
728,Coat,Trouser
729,Bag,Bag
730,Dress,Dress
731,Trouser,Trouser
732,Trouser,Trouser
733,Shirt,T-shirt/top
734,Coat,Pullover
735,Dress,Dress
736,Ankle boot,Ankle boot
737,Ankle boot,T-shirt/top
738,Trouser,Trouser
739,Trouser,Trouser
740,Sandal,Sandal
741,Ankle boot,Ankle boot
742,Coat,Sandal
743,Sandal,Sneaker
744,Ankle boot,Ankle boot
745,Sandal,Ankle boot
746,Bag,Coat
747,T-shirt/top,T-shirt/top
748,Dress,Sneaker
749,Shirt,Coat
750,Trouser,Trouser
751,Ankle boot,Ankle boot
752,Dress,Shirt
753,Sandal,Sandal
754,Pullover,Coat
755,Shirt,Pullover
756,Sandal,Trouser
757,Shirt,Pullover
758,Ankle boot,Ankle boot
759,Bag,Coat
760,Sandal,Sandal
761,Ankle boot,Ankle boot
762,Pullover,Coat
763,Ankle boot,Ankle boot
764,Dress,Dress
765,Bag,Bag
766,Sneaker,T-shirt/top
767,Shirt,Trouser
768,Sandal,Sneaker
769,Trouser,Dress
770,Sneaker,Dress
771,Bag,Pullover
772,Bag,T-shirt/top
773,Ankle boot,Ankle boot
774,Ankle boot,Ankle boot
775,Shirt,T-shirt/top
776,Pullover,T-shirt/top
777,Bag,Bag
778,Ankle boot,Ankle boot
779,Sneaker,Bag
780,Dress,Pullover
781,T-shirt/top,T-shirt/top
782,Coat,Coat
783,Sandal,Sandal
784,T-shirt/top,Bag
785,T-shirt/top,T-shirt/top
786,Shirt,Bag
787,Bag,Bag
788,Ankle boot,Dress
789,Pullover,Pullover
790,Pullover,Pullover
791,Bag,Bag
792,Pullover,Coat
793,Coat,Pullover
794,Shirt,Sandal
795,Ankle boot,Ankle boot
796,Pullover,Pullover
797,Ankle boot,Ankle boot
798,Sandal,Shirt
799,Sandal,Sandal
800,Ankle boot,Sneaker
801,Ankle boot,Ankle boot
802,Pullover,Coat
803,Sneaker,Dress
804,Coat,Pullover
805,Sneaker,T-shirt/top
806,Bag,Bag
807,Dress,Trouser
808,Shirt,Pullover
809,Bag,Sandal
810,Dress,Dress
811,T-shirt/top,T-shirt/top
812,T-shirt/top,Pullover
813,T-shirt/top,T-shirt/top
814,Pullover,Dress
815,Ankle boot,Ankle boot
816,Sneaker,Sneaker
817,Dress,Trouser
818,T-shirt/top,T-shirt/top
819,Sneaker,Sneaker
820,Ankle boot,Sneaker
821,Bag,Pullover
822,Ankle boot,Dress
823,Coat,Pullover
824,Shirt,Shirt
825,Dress,Dress
826,Shirt,Sneaker
827,Dress,Bag
828,Coat,Pullover
829,Sandal,Sandal
830,Sandal,Sandal
831,T-shirt/top,Sneaker
832,Shirt,Bag
833,Shirt,Dress
834,Shirt,Coat
835,Ankle boot,Ankle boot
836,Trouser,Trouser
837,T-shirt/top,Sandal
838,T-shirt/top,Sneaker
839,T-shirt/top,Coat
840,Dress,Bag
841,Sandal,Ankle boot
842,Dress,T-shirt/top
843,Sneaker,Sandal
844,Shirt,Coat
845,Pullover,Sandal
846,Pullover,Bag
847,Bag,Bag
848,Bag,Trouser
849,Shirt,Dress
850,Pullover,Pullover
851,Sandal,Sandal
852,Pullover,Pullover
853,Bag,Bag
854,Bag,Bag
855,Dress,Sneaker
856,Pullover,Coat
857,Shirt,Pullover
858,Bag,Sneaker
859,Dress,Sneaker
860,Shirt,Shirt
861,Trouser,Trouser
862,Pullover,Pullover
863,Dress,Trouser
864,Shirt,Pullover
865,Sandal,Sandal
866,Pullover,Bag
867,Sandal,Sandal
868,T-shirt/top,T-shirt/top
869,Coat,Sneaker
870,T-shirt/top,T-shirt/top
871,Pullover,Coat
872,Ankle boot,Ankle boot
873,T-shirt/top,T-shirt/top
874,Sandal,T-shirt/top
875,T-shirt/top,T-shirt/top
876,Pullover,Coat
877,Bag,Bag
878,T-shirt/top,Dress
879,Pullover,Coat
880,Shirt,Coat
881,Dress,Bag
882,Dress,Dress
883,Shirt,T-shirt/top
884,Dress,Dress
885,Dress,Bag
886,Pullover,Pullover
887,Ankle boot,Ankle boot
888,T-shirt/top,Coat
889,Dress,Trouser
890,Coat,Trouser
891,Sneaker,Sneaker
892,Shirt,Coat
893,Sneaker,Sneaker
894,Trouser,Trouser
895,Coat,T-shirt/top
896,Sneaker,Ankle boot
897,Pullover,Coat
898,Ankle boot,Ankle boot
899,Trouser,Trouser
900,Dress,Trouser
901,Bag,Bag
902,Bag,Dress
903,Coat,Pullover
904,Dress,Bag
905,Shirt,Shirt
906,Ankle boot,Sandal
907,T-shirt/top,T-shirt/top
908,Ankle boot,Ankle boot
909,Shirt,Pullover
910,T-shirt/top,T-shirt/top
911,Pullover,Pullover
912,Ankle boot,Bag
913,Pullover,Pullover
914,Sneaker,Ankle boot
915,Coat,Coat
916,Sandal,Sandal
917,Pullover,Pullover
918,Pullover,Coat
919,Coat,Coat
920,Sandal,T-shirt/top
921,Pullover,Ankle boot
922,Coat,Coat
923,Bag,Bag
924,Sandal,Sandal
925,Dress,T-shirt/top
926,Bag,Bag
927,T-shirt/top,Coat
928,Bag,Bag
929,Coat,Sandal
930,Pullover,Coat
931,Bag,Pullover
932,Sneaker,Sneaker
933,Ankle boot,Pullover
934,T-shirt/top,T-shirt/top
935,Bag,T-shirt/top
936,Sandal,Sandal
937,Ankle boot,Ankle boot
938,Coat,Dress
939,Shirt,T-shirt/top
940,Bag,Pullover
941,Sandal,Trouser
942,Pullover,Pullover
943,Sandal,Sandal
944,Trouser,Trouser
945,Bag,Bag
946,Dress,Bag
947,Sandal,Trouser
948,Coat,Bag
949,Pullover,Pullover
950,Sneaker,Ankle boot
951,Coat,Coat
952,Ankle boot,Ankle boot
953,Pullover,Sandal
954,Coat,Coat
955,Sandal,T-shirt/top
956,Sneaker,Sneaker
957,Sandal,Sandal
958,Ankle boot,Ankle boot
959,Bag,Bag
960,T-shirt/top,Ankle boot
961,Shirt,Bag
962,Pullover,Coat
963,Coat,Coat
964,Sneaker,Ankle boot
965,Coat,Coat
966,Dress,Dress
967,Pullover,Coat
968,Shirt,T-shirt/top
969,Bag,Bag
970,Bag,Bag
971,Bag,Bag
972,Ankle boot,Ankle boot
973,Sneaker,Sandal
974,Bag,Bag
975,T-shirt/top,T-shirt/top
976,Sneaker,Ankle boot
977,Shirt,T-shirt/top
978,Sandal,Sandal
979,Dress,Trouser
980,Dress,Pullover
981,Shirt,Coat
982,Sandal,Sandal
983,T-shirt/top,Bag
984,Dress,Trouser
985,Dress,Dress
986,Ankle boot,Ankle boot
987,Sandal,Sandal
988,Dress,Pullover
989,Shirt,Pullover
990,Sneaker,Sneaker
991,Sneaker,Coat
992,Ankle boot,Ankle boot
993,Bag,Sandal
994,Trouser,Trouser
995,Sneaker,Sandal
996,Sneaker,Sneaker
997,Bag,Dress
998,Sneaker,Trouser
999,Sandal,Sandal
1000,Ankle boot,Dress
1001,Coat,Coat
1002,Dress,T-shirt/top
1003,Sandal,Sneaker
1004,Sneaker,Dress
1005,Shirt,T-shirt/top
1006,Shirt,Coat
1007,Coat,Pullover
1008,Coat,Coat
1009,Shirt,Bag
1010,Sneaker,Sandal
1011,Bag,Bag
1012,Trouser,Trouser
1013,Sneaker,Sneaker
1014,T-shirt/top,Sandal
1015,Trouser,Dress
1016,T-shirt/top,Sneaker
1017,Ankle boot,Ankle boot
1018,Dress,Trouser
1019,Ankle boot,Ankle boot
1020,Shirt,Sandal
1021,Shirt,Coat
1022,Trouser,Trouser
1023,Bag,Bag
1024,Trouser,Sneaker
1025,Shirt,Pullover
1026,Sneaker,Sneaker
1027,Pullover,Pullover
1028,Shirt,Sandal
1029,Shirt,Coat
1030,Coat,Coat
1031,Sandal,Sandal
1032,Ankle boot,Ankle boot
1033,Bag,Bag
1034,Trouser,Trouser
1035,Pullover,Pullover
1036,Coat,Coat
1037,Shirt,Sneaker
1038,Shirt,T-shirt/top
1039,Pullover,Sneaker
1040,Sandal,Sandal
1041,Sneaker,Sneaker
1042,Dress,Sneaker
1043,Dress,T-shirt/top
1044,T-shirt/top,T-shirt/top
1045,Ankle boot,Coat
1046,Ankle boot,Ankle boot
1047,Sandal,Sandal
1048,Trouser,Trouser
1049,Sandal,Dress
1050,Sneaker,Sneaker
1051,T-shirt/top,Coat
1052,Sneaker,T-shirt/top
1053,Bag,Bag
1054,Pullover,Coat
1055,Ankle boot,Dress
1056,Shirt,Sandal
1057,Ankle boot,Bag
1058,Dress,T-shirt/top
1059,Dress,Ankle boot
1060,T-shirt/top,T-shirt/top
1061,Bag,Bag
1062,Coat,Bag
1063,T-shirt/top,T-shirt/top
1064,T-shirt/top,Sandal
1065,Ankle boot,Ankle boot
1066,Sneaker,Dress
1067,Trouser,Coat
1068,Sandal,Trouser
1069,Sneaker,Sneaker
1070,Bag,Sandal
1071,Pullover,Sneaker
1072,Dress,T-shirt/top
1073,Bag,Bag
1074,Ankle boot,Ankle boot
1075,Sandal,Ankle boot
1076,Sneaker,Sneaker
1077,Coat,Coat
1078,Trouser,Sneaker
1079,T-shirt/top,Coat
1080,Trouser,Ankle boot
1081,Sneaker,Sneaker
1082,Dress,Dress
1083,Shirt,Sandal
1084,T-shirt/top,Bag
1085,Bag,Coat
1086,Pullover,Pullover
1087,Sneaker,Sneaker
1088,Sandal,Sandal
1089,Sandal,Trouser
1090,Pullover,Trouser
1091,Dress,Trouser
1092,Coat,Coat
1093,Dress,Dress
1094,Sandal,Bag
1095,Ankle boot,Ankle boot
